Manufacturer,Sugars_mean,Sugars_median,Sugars_min,Sugars_max,Fiber_mean,Fiber_median,Fiber_min,Fiber_max,Sodium_mean,Sodium_median,Sodium_min,Sodium_max,Protein_mean,Protein_median,Protein_min,Protein_max,Potassium_mean,Potassium_median,Potassium_min,Potassium_max,Calories_mean,Calories_median,Calories_min,Calories_max,Carbohydrates_mean,Carbohydrates_median,Carbohydrates_min,Carbohydrates_max,Fat_mean,Fat_median,Fat_min,Fat_max
A,3.0,3.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,4,4,95.0,95.0,95,95,100.0,100.0,100,100,16.0,16.0,16.0,16.0,1.0,1.0,1,1
G,7.954545454545454,8.5,1,14,1.2727272727272727,1.5,0.0,4.0,200.45454545454547,200.0,140,290,2.3181818181818183,2.0,1,6,85.22727272727273,80.0,25,230,111.36363636363636,110.0,100,140,14.727272727272727,14.25,10.5,21.0,1.3636363636363635,1.0,1,3
K,7.565217391304348,7.0,0,15,2.739130434782609,1.0,0.0,14.0,174.7826086956522,170.0,0,320,2.652173913043478,3.0,1,6,103.04347826086956,60.0,20,330,108.69565217391305,110.0,50,160,15.130434782608695,15.0,7.0,22.0,0.6086956521739131,0.0,0,3
N,1.8333333333333333,0.0,0,6,4.0,3.0,1.0,10.0,37.5,7.5,0,130,2.8333333333333335,3.0,2,4,120.66666666666667,107.5,-1,280,86.66666666666667,90.0,70,100,16.0,17.5,5.0,21.0,0.16666666666666666,0.0,0,1
P,8.777777777777779,10.0,3,15,2.7777777777777777,3.0,0.0,6.0,146.11111111111111,160.0,45,210,2.4444444444444446,3.0,1,3,113.88888888888889,90.0,25,260,108.88888888888889,110.0,90,120,13.222222222222221,13.0,11.0,17.0,0.8888888888888888,1.0,0,3
Q,5.25,6.0,-1,12,1.3375,1.5,0.0,2.7,92.5,75.0,0,220,2.625,2.5,1,5,74.375,72.5,15,135,95.0,100.0,50,120,10.0,12.0,-1.0,14.0,1.75,2.0,0,5
R,6.125,5.5,2,11,1.875,2.0,0.0,4.0,198.125,200.0,95,280,2.5,2.0,1,4,89.25,97.5,-1,170,115.0,110.0,90,150,17.625,16.5,14.0,23.0,1.25,1.0,0,3
